Leopold Banks,97,48315,12
Pearl Buchanan,99,10502,12
Edie Spears,98,40428,12
Atticus Branch,95,80116,12
Piper Deleon,99,52156,12
Levi Ball,99,55564,12
Duke Patton,99,13108,12
Ray Landry,98,10502,12
Iris Mcdonald,97,44518,12
Lola Hobbs,96,30167,12
Orson Andrade,97,40428,12
Pearl Evans,99,54336,12
Dixie Petty,95,39632,12
Hopper Strong,99,51182,12
Theo Fuller,98,42936,12
Magnus Hickman,98,84710,12
Ike Bonilla,96,58842,12
Lila Mahoney,99,20863,12
Levi Phelps,97,42038,12
Delilah Ball,99,42936,12
Scarlett Gilbert,98,70714,12
Magnus Jones,96,11236,12
Georgia Solomon,96,75780,12
Daisy Shaw,97,44518,12
Homer Santana,99,21449,12
Magnus Ali,97,65149,12
Kingston Lloyd,98,15865,12
Lionel Henson,97,84710,12
Georgia Ashley,96,86870,12
Hazel Hobbs,99,94667,12
Isla Schultz,97,15865,12
Leonora Boyle,96,13108,12
Levi Butler,98,82950,12
Duke Cooper,99,78051,12
Isla Durham,98,73206,12
Orson Copeland,96,58842,12
Mamie Vasquez,95,20863,12
Piper Mccullough,95,88511,12
Dashiell Thompson,96,12766,12
Sullivan Velasquez,99,86467,12
Orson Acosta,95,86467,12
Ione Paul,99,59612,12
Scarlett Orozco,98,25011,12
Flora Ferguson,96,34139,12
Delilah Murray,95,54336,12
Lola Church,99,34868,12
Gus Flowers,99,34139,12
Asher Bonilla,96,69644,12
Scarlett Macdonald,99,34139,12
Rufus Reed,99,10502,12
Lennon Jenkins,95,55564,12
Pearl Mcdowell,97,26650,12
Lionel Flores,97,21449,12
Ruby Andrews,98,14767,12
Scarlett Conrad,97,14767,12
Iris Greer,97,52156,12
Annabel Bird,99,65559,12
Georgia Lynn,95,34139,12
Sullivan Bowman,98,84061,12
Roman Tapia,83,55008,9
Sebastian Browning,84,62397,9
Piper Larson,83,44388,9
Luca Schaefer,82,63775,9
Asher Gallegos,83,94041,9
India Blankenship,81,69644,9
Silas Hines,83,25426,9
Dashiell Peterson,84,17302,9
Stella Howard,83,47908,9
Ruby Solis,84,77730,9
Daisy Gordon,83,52156,9
Ruby Bush,82,86467,9
Delilah Huynh,83,42936,9
Dexter Esparza,82,63775,9
Leonora Hancock,82,73206,9
Olive Griffith,84,78300,9
Clementine Oconnell,80,73404,9
Lulu Huber,82,69001,9
Isla Torres,83,86467,9
Magnus Atkins,82,21449,9
Sadie Frye,81,21449,9
Moses Mcmahon,81,56214,9
Lola Holloway,84,55072,9
Hudson Phelps,84,38967,9
Hopper Bradford,81,62951,9
Moses Mckay,82,92860,9
Roman Lyons,84,31678,9
Homer Taylor,83,34466,9
Orson Ewing,83,10234,9
Silas Davidson,83,76727,9
Lionel Mccall,82,54457,9
Violet Lamb,84,42936,9
Poppy Parrish,83,34868,9
Theo Cooley,84,65149,9
Leonora Santiago,80,84061,9
Duke Zavala,81,77730,9
Kingston Carroll,82,48315,9
India Allen,84,69644,9
Dashiell Giles,84,17302,9
Daisy Roth,82,62462,9
India Rogers,80,47908,9
Hugo Gibbs,84,97086,9
Sadie Orr,82,55265,9
Piper Klein,81,12766,9
Ruby Merritt,80,75780,9
Edie Grant,80,55072,9
Flora Carson,83,29113,9
Levi Sosa,84,74444,9
Lila Morris,83,84710,9
Milo Walker,84,66805,9
Roscoe Erickson,84,55072,9
Sebastian Whitney,82,58192,9
Leopold Wiggins,84,51182,9
Lionel Burnett,80,25426,9
Mamie Ray,84,78300,9
Hazel Morris,83,13108,9
Hudson Brock,83,60623,9
Lila Hart,80,62951,9
Lila Matthews,84,17302,9
Frances Mcdowell,80,49621,9
June Harper,66,34868,6
Delilah Turner,69,17302,6
Violet Bentley,65,56214,6
Otis Curry,66,43254,6
Pearl Nguyen,1,77767,6
Leonora Ferrell,5,42038,6
Annabel Marshall,4,92860,6
Isla Proctor,2,34868,6
Ike Roy,65,25426,6
Stellan Vaughn,69,62711,6
Hopper Cherry,65,43254,6
Hugo Lindsey,69,10234,6
Talullah Collier,1,48315,6
Millie Beasley,5,65149,6
Atticus Waters,66,59612,6
Dashiell Villarreal,5,62951,6
Piper Short,5,54457,6
Romy Odom,4,78300,6
Rufus Browning,4,52156,6
Rufus Reid,68,43300,6
Poppy Davies,1,10234,6
Lennon Hartman,2,84710,6
Asher Nielsen,65,65559,6
August May,65,11236,6
Mamie Hart,67,11236,6
Rufus Randolph,69,63775,6
Moses Ballard,2,29555,6
Talullah Nguyen,3,11236,6
Lulu Nunez,69,71569,6
Lennon Deleon,69,54336,6
Sullivan Bridges,2,25426,6
Otis Carson,67,43254,6
June Figueroa,3,58192,6
Sebastian Burns,66,56214,6
Frank Best,4,29555,6
Delilah Mcclure,4,35096,6
Lulu Becker,4,14767,6
Daisy Stevens,69,55072,6
Luca Malone,5,80392,6
Frank Barron,1,52099,6
Hugo Escobar,68,80116,6
Silas Reid,4,78300,6
Butch Bolton,2,55265,6
Romy Farrell,66,38967,6
Rufus Jacobs,68,68059,6
Butch Wong,2,92346,6
Asher Galloway,3,40428,6
Dashiell Wright,3,25011,6
Delilah Meadows,3,86782,6
Talullah Tyler,5,35752,6
Lola Ho,69,56941,6
Orson Sandoval,68,39632,6
Lionel Bryant,1,25011,6
Delilah Vargas,2,62711,6
Romy Lang,66,35752,6
Ike Arias,3,62711,6
Moses Lawson,67,74444,6
Orson Novak,65,54457,6
Sullivan Hicks,66,68059,6
Daisy James,69,55008,6
Ray Mayer,66,68059,6
Elvis Riley,65,58842,6
Talullah Boyd,5,31678,6
Hugo Davidson,2,84061,6
Clementine Delacruz,1,71569,6
Daisy Mcintosh,4,77730,6
Flora Monroe,68,83853,6
Milo Ramsey,68,52156,6
Frank Bell,4,58842,6
Hopper Golden,4,29113,6
Clementine Rasmussen,2,73972,6
Annabel Mckay,65,25899,6
Asher Freeman,2,24433,6
Ione Burgess,4,51182,6
Lulu Douglas,5,94667,6
Hopper Costa,66,44388,6
Milo Mckay,4,55008,6
Hudson Fuller,69,20863,6
Moses Buckley,91,88511,11
Isla Watson,92,14767,11
Dixie Davis,92,10234,11
Levi Sanchez,93,82950,11
Magnus Mcmillan,94,21449,11
Sadie Bautista,90,42038,11
India Hernandez,90,63775,11
June Collins,94,65149,11
Roman Bond,94,15865,11
Kingston Mills,90,84061,11
Ray Greer,91,10234,11
Hugo Baldwin,92,68059,11
Sebastian Harding,93,68059,11
Asher Leonard,94,11236,11
Lulu Anthony,94,12766,11
Romy Sexton,91,31678,11
Moses Mcneil,91,17302,11
Dixie Mccoy,92,70714,11
Sullivan Perkins,91,42038,11
Frances Roman,94,65149,11
Ray Rollins,91,63775,11
Butch Fitzgerald,91,16658,11
Frances Chaney,91,54336,11
Millie Kent,93,48315,11
Ike Castillo,92,17302,11
Edie Velazquez,94,44388,11
Moses Frederick,91,68752,11
Hudson Bolton,93,17302,11
Homer Church,91,76727,11
Ruby Castaneda,92,25899,11
Rufus Floyd,93,92346,11
Matilda Shea,90,55265,11
Edie Grant,90,84061,11
Lila Cardenas,90,39632,11
Delilah Harrington,93,40428,11
Magnus Powers,92,94041,11
Romy Howell,92,20863,11
Hugo Wheeler,92,88911,11
Romy Powers,90,34139,11
Leonora Duffy,91,43300,11
Roscoe Mccormick,92,17302,11
Sebastian Sheppard,90,43300,11
Magnus Fitzpatrick,93,15100,11
Leopold Ibarra,91,55265,11
Frank Reyes,90,15100,11
Roman Klein,90,56214,11
Dixie Wolf,91,97086,11
Stella Krause,91,51182,11
Hudson Macias,90,47908,11
Hopper Bartlett,91,35752,11
Atticus Mccoy,94,38967,11
Homer Bender,93,54457,11
Duke Fitzgerald,9,34868,5
Iris Levy,63,59612,5
Elvis Burke,9,73404,5
Violet Chaney,61,74444,5
Dixie Ruiz,63,94041,5
Ivy Dodson,10,35096,5
Talullah Rosario,8,97086,5
Milo Mcdowell,6,86870,5
India Mccall,60,86467,5
Dexter Parks,60,13108,5
Frances Colon,7,69644,5
Frank Jarvis,60,10234,5
Ike Wright,63,70714,5
Hazel Petersen,10,25899,5
Daisy Tanner,64,55008,5
Clementine Shaw,9,17302,5
Poppy Lowe,6,34868,5
